id,trial,type,background,valence,result,probability,sp
63,3,1,2,1,2,1,0.93
63,4,1,2,1,2,2,0.71
63,5,1,2,2,1,1,1
63,6,1,2,2,1,2,0.83
63,7,1,2,2,2,1,0.65
63,8,1,2,2,2,2,0.77
64,1,1,2,1,1,1,0.04
64,2,1,2,1,1,2,1
64,3,1,2,1,2,1,1
64,4,1,2,1,2,2,0
64,5,1,2,2,1,1,0.98
64,6,1,2,2,1,2,0
64,7,1,2,2,2,1,0
64,8,1,2,2,2,2,0.94
65,1,1,2,1,1,1,0.03
65,2,1,2,1,1,2,0.91
65,3,1,2,1,2,1,1
65,4,1,2,1,2,2,0.27
65,5,1,2,2,1,1,1
65,6,1,2,2,1,2,0
65,7,1,2,2,2,1,0.03
65,8,1,2,2,2,2,0.92
66,1,1,2,1,1,1,0.04
66,2,1,2,1,1,2,0.83
66,3,1,2,1,2,1,0.95
66,4,1,2,1,2,2,0
66,5,1,2,2,1,1,1
66,6,1,2,2,1,2,0.13
66,7,1,2,2,2,1,0
66,8,1,2,2,2,2,0.8
67,1,1,2,1,1,1,0
67,2,1,2,1,1,2,0.83
67,3,1,2,1,2,1,0.97
67,4,1,2,1,2,2,0.13
67,5,1,2,2,1,1,1
67,6,1,2,2,1,2,0
67,7,1,2,2,2,1,0
67,8,1,2,2,2,2,0.88
68,1,1,2,1,1,1,0
68,2,1,2,1,1,2,1
68,3,1,2,1,2,1,1
68,4,1,2,1,2,2,0.09
68,5,1,2,2,1,1,1
68,6,1,2,2,1,2,0.11
68,7,1,2,2,2,1,0
68,8,1,2,2,2,2,0.94
69,1,1,2,1,1,1,0.06
69,2,1,2,1,1,2,0.93
69,3,1,2,1,2,1,0.98
69,4,1,2,1,2,2,0
69,5,1,2,2,1,1,0.98
69,6,1,2,2,1,2,0.08
69,7,1,2,2,2,1,0.03
69,8,1,2,2,2,2,0.82
70,1,1,2,1,1,1,0
70,2,1,2,1,1,2,1
70,3,1,2,1,2,1,1
70,4,1,2,1,2,2,0
70,5,1,2,2,1,1,1
70,6,1,2,2,1,2,0
70,7,1,2,2,2,1,0.03
70,8,1,2,2,2,2,0.92
71,1,1,2,1,1,1,0
71,2,1,2,1,1,2,1
71,3,1,2,1,2,1,0.96
71,4,1,2,1,2,2,0
71,5,1,2,2,1,1,0.97
71,6,1,2,2,1,2,0
71,7,1,2,2,2,1,0.02
71,8,1,2,2,2,2,0.92
72,1,1,2,1,1,1,0.03
72,2,1,2,1,1,2,0.95
72,3,1,2,1,2,1,1
72,4,1,2,1,2,2,0
72,5,1,2,2,1,1,1
72,6,1,2,2,1,2,0
72,7,1,2,2,2,1,0
72,8,1,2,2,2,2,0.94
73,1,1,2,1,1,1,0.14
73,2,1,2,1,1,2,0.71
73,3,1,2,1,2,1,0.94
73,4,1,2,1,2,2,0
73,5,1,2,2,1,1,0.93
73,6,1,2,2,1,2,0.15
73,7,1,2,2,2,1,0.13
73,8,1,2,2,2,2,0.92
74,1,1,2,1,1,1,0
74,2,1,2,1,1,2,1
74,3,1,2,1,2,1,1
74,4,1,2,1,2,2,0.14
74,5,1,2,2,1,1,1
74,6,1,2,2,1,2,0
74,7,1,2,2,2,1,0.09
74,8,1,2,2,2,2,1
75,1,1,2,1,1,1,0
75,2,1,2,1,1,2,0.92
75,3,1,2,1,2,1,0.98
75,4,1,2,1,2,2,0
75,5,1,2,2,1,1,0.98
75,6,1,2,2,1,2,0
75,7,1,2,2,2,1,0.07
75,8,1,2,2,2,2,1
76,1,1,2,1,1,1,0.03
76,2,1,2,1,1,2,0.73
76,3,1,2,1,2,1,0.97
76,4,1,2,1,2,2,0
76,5,1,2,2,1,1,0.88
76,6,1,2,2,1,2,0.07
76,7,1,2,2,2,1,0
76,8,1,2,2,2,2,0.79
77,1,1,2,1,1,1,0.03
77,2,1,2,1,1,2,0.83
77,3,1,2,1,2,1,0.98
77,4,1,2,1,2,2,0
77,5,1,2,2,1,1,0.91
77,6,1,2,2,1,2,0.15
77,7,1,2,2,2,1,0
77,8,1,2,2,2,2,0.94
78,1,1,2,1,1,1,0.04
78,2,1,2,1,1,2,0.93
78,3,1,2,1,2,1,1
78,4,1,2,1,2,2,0
78,5,1,2,2,1,1,1
78,6,1,2,2,1,2,0.13
78,7,1,2,2,2,1,0
78,8,1,2,2,2,2,1
79,1,1,2,1,1,1,0
79,2,1,2,1,1,2,0.91
79,3,1,2,1,2,1,1
79,4,1,2,1,2,2,0
79,5,1,2,2,1,1,1
79,6,1,2,2,1,2,0
79,7,1,2,2,2,1,0.03
79,8,1,2,2,2,2,0.92
80,1,1,2,1,1,1,0
80,2,1,2,1,1,2,0.94
80,3,1,2,1,2,1,1
80,4,1,2,1,2,2,0.13
80,5,1,2,2,1,1,0.94
80,6,1,2,2,1,2,0.07
80,7,1,2,2,2,1,0
80,8,1,2,2,2,2,0.83
81,1,1,2,1,1,1,0.06
81,2,1,2,1,1,2,1
81,3,1,2,1,2,1,1
81,4,1,2,1,2,2,0
81,5,1,2,2,1,1,0.92
81,6,1,2,2,1,2,0.07
81,7,1,2,2,2,1,0.11
81,8,1,2,2,2,2,0.83
82,1,2,1,1,1,1,0.65
82,2,2,1,1,1,2,0.89
82,3,2,1,1,2,1,0.98
82,4,2,1,1,2,2,0.06
82,5,2,1,2,1,1,0.93
82,6,2,1,2,1,2,0.67
82,7,2,1,2,2,1,0.56
82,8,2,1,2,2,2,0.79
83,1,2,1,1,1,1,0.37
83,2,2,1,1,1,2,0.38
83,3,2,1,1,2,1,0.98
83,4,2,1,1,2,2,0.89
83,5,2,1,2,1,1,0.95
83,6,2,1,2,1,2,1
83,7,2,1,2,2,1,0.31
83,8,2,1,2,2,2,0.3
84,1,2,1,1,1,1,0.64
84,2,2,1,1,1,2,0.78
84,3,2,1,1,2,1,0.92
84,4,2,1,1,2,2,0.7
84,5,2,1,2,1,1,0.81
84,6,2,1,2,1,2,0.75
84,7,2,1,2,2,1,0.9
84,8,2,1,2,2,2,0.75
